,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
145020,1930,2,0,2483.0,2240.0,2,270000.0,2.0,2.0,6,30
146772,1930,1,0,1950.0,1280.0,1,260000.0,2.0,2.0,6,8
148932,1940,1,0,1600.0,1540.0,1,250000.0,1.0,2.0,11,6
154404,1925,1,0,1800.0,790.0,1,220000.0,1.0,1.5,8,2
154728,1890,1,0,1160.0,1100.0,1,218000.0,1.0,2.0,3,1
155196,1910,3,0,2000.0,2120.0,3,215000.0,1.0,2.0,5,23
155976,1910,2,0,1800.0,1140.0,2,210000.0,1.0,2.0,7,11
157848,1925,2,0,2130.0,1862.0,2,200000.0,1.0,2.0,4,21
158352,1920,2,0,1575.0,1216.0,2,199000.0,1.0,2.0,1,19
158592,1901,2,0,2250.0,1820.0,2,195300.0,2.0,2.0,11,2
160764,1985,1,0,1800.0,1116.0,1,181000.0,1.0,2.0,5,31
161184,1925,1,0,2000.0,1392.0,1,180000.0,2.0,2.5,2,10
168828,1901,2,0,2500.0,1560.0,2,125000.0,1.0,2.0,2,1
171396,1940,1,0,4133.0,1653.0,1,100000.0,1.0,1.0,7,21
171924,1910,3,0,1883.0,2268.0,3,95000.0,1.0,2.0,2,16
172056,1920,2,0,1600.0,1920.0,2,93786.0,2.0,2.0,7,26
173328,1986,1,0,1800.0,1116.0,1,75000.0,1.0,2.0,5,5
173520,1935,1,0,2000.0,1300.0,1,72000.0,2.0,2.0,6,15
173664,2002,3,0,2000.0,2500.0,3,70000.0,1.0,3.0,5,11
173868,1899,3,0,1600.0,2160.0,3,66666.0,1.0,2.0,3,2
174972,1911,2,1,2020.0,2520.0,3,50000.0,1.0,2.0,3,7
175188,1901,3,0,2000.0,3600.0,3,47481.0,1.0,3.0,7,28
175308,1910,2,0,1042.0,1368.0,2,45000.0,1.0,2.0,12,11
175644,1930,4,0,2500.0,2952.0,4,40000.0,1.0,2.0,3,27
176760,1910,2,0,2003.0,1922.0,2,25000.0,1.0,2.0,4,6
177360,1931,1,1,2500.0,3625.0,2,20000.0,1.0,2.0,8,9
177576,1901,3,0,2000.0,3600.0,3,16500.0,1.0,3.0,6,12
177624,1901,3,0,2000.0,3600.0,3,15387.0,1.0,3.0,5,22
178272,1910,2,1,2020.0,3600.0,3,10000.0,1.0,3.0,3,20
178416,1986,1,0,1802.0,1116.0,1,8000.0,1.0,2.0,8,8
178452,1910,3,1,1600.0,4000.0,4,7500.0,1.0,3.0,8,7
179592,1930,1,0,2000.0,1328.0,1,500.0,2.0,2.0,9,19
179820,1945,2,0,3000.0,2401.0,2,100.0,1.0,1.0,5,25
