,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
3270,1901,2,0,2000.0,4614.0,2,4100000.0,1.0,3.0,9,7
3271,1921,3,1,1600.0,5200.0,4,4100000.0,1.0,4.0,5,24
3272,0,0,0,21267.0,0.0,0,4100000.0,,,12,1
3309,1901,2,0,2023.0,4128.0,2,4030000.0,1.0,3.0,3,10
3312,1901,1,0,1840.0,4733.0,1,4025000.0,1.0,4.0,3,29
3317,2005,1,0,1590.0,4288.0,1,4010000.0,1.0,3.0,11,9
3389,1923,0,1,1540.0,3420.0,1,4000000.0,1.0,3.0,6,27
3390,1931,0,2,8511.0,2592.0,2,4000000.0,1.0,1.0,6,14
3391,1920,1,0,1425.0,3201.0,1,4000000.0,1.0,4.0,6,14
3392,1900,3,1,1200.0,3840.0,4,4000000.0,1.0,4.0,2,10
3393,1931,1,3,1580.0,3240.0,4,4000000.0,1.0,3.0,2,7
3395,1899,2,0,2821.0,2040.0,2,4000000.0,1.0,2.0,2,14
3397,1937,6,0,2040.0,4025.0,6,4000000.0,1.0,3.0,6,23
3398,1900,4,2,2500.0,7000.0,6,4000000.0,1.0,4.0,7,11
3399,1928,6,1,2500.0,7000.0,7,4000000.0,1.0,4.0,6,20
3401,1950,0,1,7655.0,2700.0,1,4000000.0,1.0,1.0,8,28
3402,1901,2,0,1726.0,3720.0,2,4000000.0,1.0,3.0,7,12
3403,1901,3,0,1800.0,3200.0,3,4000000.0,1.0,2.0,11,20
3404,1960,0,1,10017.0,1857.0,1,4000000.0,2.0,1.0,9,28
3405,1910,5,1,2500.0,4500.0,6,4000000.0,2.0,3.0,9,27
3406,2005,1,0,1190.0,3599.0,1,4000000.0,1.0,4.0,9,12
3407,1899,3,1,1770.0,3300.0,4,4000000.0,1.0,3.0,3,24
3427,2005,1,0,1590.0,4296.0,1,3995000.0,1.0,3.0,8,11
3428,1901,2,0,2000.0,3896.0,2,3995000.0,1.0,3.0,7,13
3433,1901,2,0,2356.0,3776.0,2,3990000.0,1.0,3.0,10,19
3434,1920,8,0,3275.0,6580.0,8,3990000.0,1.0,4.0,7,13
3444,1933,0,5,14000.0,14000.0,5,3966875.0,1.0,1.0,2,16
3446,1911,8,0,3275.0,8200.0,8,3965000.0,1.0,4.0,5,18
3448,1925,1,0,4000.0,2614.0,1,3960000.0,1.0,2.5,8,17
3473,1931,1,1,1176.0,2352.0,2,3950000.0,1.0,2.0,2,28
3474,1931,18,3,4800.0,18150.0,21,3950000.0,1.0,4.0,8,30
3475,1910,2,0,2500.0,1200.0,2,3950000.0,2.0,2.0,12,5
3485,2016,2,0,2915.0,3930.0,2,3939998.0,0.0,2.0,11,16
3490,1931,16,0,3886.0,11036.0,16,3925000.0,1.0,4.0,6,13
3521,1959,2,1,4410.0,2700.0,3,3900000.0,1.0,3.0,2,17
3522,1900,4,0,2000.0,4500.0,4,3900000.0,1.0,4.0,5,31
3523,1899,3,0,2500.0,3344.0,3,3900000.0,1.0,3.0,6,29
3524,1920,9,0,2500.0,6250.0,9,3900000.0,1.0,4.0,5,3
3525,0,0,0,5000.0,0.0,0,3900000.0,0.0,0.0,8,30
3526,1926,48,0,4000.0,12800.0,48,3900000.0,1.0,4.0,2,2
3527,1931,6,0,2300.0,3700.0,6,3900000.0,1.0,3.0,11,29
3528,1910,6,1,2500.0,5000.0,7,3900000.0,1.0,4.0,10,20
3547,1931,3,4,2000.0,6620.0,7,3875000.0,1.0,4.0,10,3
3587,1899,2,0,2000.0,3360.0,2,3850000.0,1.0,3.0,6,7
3588,1901,2,0,2000.0,5690.0,2,3850000.0,1.0,4.0,8,14
3600,1930,19,0,3966.0,14220.0,19,3836100.0,1.0,4.0,9,18
3609,1920,2,1,1200.0,2720.0,3,3825000.0,1.0,3.0,4,6
3611,1930,4,0,2200.0,4400.0,4,3825000.0,1.0,3.0,6,12
3617,1899,2,0,2492.0,1444.0,2,3820000.0,2.0,2.0,1,3
3622,1921,8,1,7500.0,15000.0,9,3811925.0,1.0,2.0,5,18
3671,1931,0,1,10000.0,3600.0,1,3800000.0,1.0,1.0,8,28
3672,1902,0,1,3756.0,6750.0,1,3800000.0,1.0,3.0,3,29
3673,1899,3,0,1760.0,4532.0,3,3800000.0,1.0,3.0,1,24
3674,1925,1,0,4000.0,2360.0,1,3800000.0,1.0,2.75,6,16
3675,1899,3,0,1900.0,3458.0,3,3800000.0,1.0,3.0,12,4
3676,1920,12,1,2445.0,5864.0,13,3800000.0,1.0,4.0,9,1
3690,1931,4,0,2358.0,2622.0,4,3790705.0,1.0,3.0,6,15
