,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
48204,1899,3,0,1875,2250,3,800000,1,3,11,30
48205,1925,1,0,1241,1024,1,800000,1,2,7,5
48206,1930,1,0,1800,1404,1,800000,1,2,5,2
48209,1925,1,0,1280,1386,1,800000,1,2,9,6
48214,1925,1,0,2000,1424,1,800000,1,2,6,19
48215,1925,1,0,2000,1424,1,800000,2,2,10,16
48216,1920,1,0,2500,876,1,800000,1,1,8,3
48217,1950,1,0,1800,2011,1,800000,1,2,12,4
48218,1940,1,0,1800,1989,1,800000,1,2,10,23
48219,1930,1,0,2200,1692,1,800000,1,2.5,1,19
48220,1940,1,0,2263,1120,1,800000,1,2,12,27
48221,1960,1,0,3788,1296,1,800000,1,2,7,5
48222,1920,2,0,4640,1998,2,800000,1,2.75,10,2
48223,1925,2,0,1800,2942,2,800000,1,2,2,6
48224,1930,2,0,2275,1786,2,800000,1,1,10,16
48225,1955,2,0,2000,2265,2,800000,1,3,9,14
48226,1945,2,0,4000,1532,2,800000,2,1.67,2,16
48227,1930,2,0,1520,1472,2,800000,1,2,1,4
48228,1910,2,0,2003,2024,2,800000,1,2,10,3
48238,1931,0,1,2500,2500,1,800000,1,1,8,29
48639,1920,1,0,2030,1320,1,799000,1,2,9,6
48642,1905,1,0,1817,1356,1,799000,1,2,11,22
48645,1910,2,0,3750,2200,2,799000,1,2,6,26
48648,1901,2,0,1667,2112,2,799000,1,2,5,24
48653,1940,1,0,1800,1791,1,799000,1,2,6,6
48678,1915,1,0,2000,1280,1,798888,2,2,10,2
48716,1960,2,0,2000,2540,2,798000,1,3,2,23
48760,1901,2,0,2074,2783,2,795823,1,2,8,7
48761,1940,1,0,1800,1620,1,795765,1,2,9,7
48889,1901,1,0,1667,1140,1,795000,1,2,8,15
48896,1925,1,0,1600,1310,1,795000,1,2,4,18
48897,1905,3,0,2000,2356,3,795000,1,2,5,10
48898,1925,1,0,2000,1200,1,795000,2,2,11,21
48900,1930,1,0,2250,1544,1,795000,2,2.5,8,4
48901,1925,1,0,2695,1312,1,795000,2,2,7,28
48902,1920,1,0,2000,1432,1,795000,2,2,7,13
48903,1910,3,0,1675,2262,3,795000,1,3,4,21
48905,1950,2,0,2200,2024,2,795000,1,2,11,20
49000,1925,1,0,2000,1274,1,793750,1,2.5,8,22
49024,1931,6,0,2500,6000,6,793000,1,3,10,18
49035,1930,2,0,2500,2576,2,792500,2,2,2,14
49077,1940,2,0,2000,2070,2,790500,1,2,10,31
49250,1925,2,0,1858,1782,2,790000,1,2.5,1,25
49251,1925,3,0,2581,2001,3,790000,2,2.5,11,1
49255,2002,2,0,1600,1920,2,790000,1,2,3,2
49256,1930,4,0,2500,3280,4,790000,1,2,11,27
